businessName,instagramUrl,websiteUrl,listingUrl,city,neighborhood,businessType,dietaryTags,dohGrade,contactEmail,phone,address,googleRating,googleReviewCount
Awesome Hibachi | Hibachi At Home Hibachi Catering,https://www.instagram.com/awesomehibachi,https://awesomehibachi.com/,https://www.eatrealfoodnyc.com/restaurants/awesome-hibachi-hibachi-at-home-hibachi-catering,Queens,Astoria,Mobile caterer,,NA,awesomehibachiofficial@gmail.com,12135923008,"24-26 47th St, Astoria, NY 11103",5,2061
Foods of NY Tours,null,https://www.foodsofny.com/,https://www.eatrealfoodnyc.com/restaurants/foods-of-ny-tours,Manhattan,Greenwich Village,Sightseeing tour agency,,NA,raheem.vaziralli@foodsofny.com,19174089539,"9 Barrow St, New York, NY 10014",5,1897
Funny Hibachi Catering,https://www.instagram.com/funnyhibachi,http://www.funnyhibachi.com/,https://www.eatrealfoodnyc.com/restaurants/funny-hibachi-catering,Brooklyn,Sunset Park,Caterer,,NA,simon@funnyhibachi.com,17187955660,"4716 7th Ave, Brooklyn, NY 11220",5,1714
Mitr Thai Restaurant,https://www.instagram.com/mitrthainyc,http://mitrthainyc.com/,https://www.eatrealfoodnyc.com/restaurants/mitr-thai-restaurant,Manhattan,Midtown,Thai restaurant,,NA,info@mitrthainyc.com,12124666699,"37 W 46th St, New York, NY 10036",4.9,8795
GAN-HOO BBQ,https://www.instagram.com/ganhoobbq_flushing,http://www.ganhoobbq.com/,https://www.eatrealfoodnyc.com/restaurants/gan-hoo-bbq,Queens,Flushing,Barbecue restaurant,,A,ganhoobbq@gmail.com,19293848888,"37-02 Main St 2nd FLOOR, Flushing, NY 11354",4.9,5618
Osteria La Baia,http://instagram.com/labaianyc,https://www.labaianyc.com/%3Fy_source%3D1_MTAwNTA2Mjg0My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,https://www.eatrealfoodnyc.com/restaurants/osteria-la-baia,Manhattan,Midtown,Italian restaurant,,B,info@labaianyc.com,19176719898,"129 W 52nd St, New York, NY 10019",4.9,5013
SAPPEISAN,https://www.instagram.com/sappe_nyc,http://sappeisan.com/,https://www.eatrealfoodnyc.com/restaurants/sappeisan,Manhattan,Greenwich Village,Thai restaurant,,NA,sawasdee@sappenyc.com,12124666361,"240 W 14th St, New York, NY 10011",4.9,4992
Valla Table,http://instagram.com/vallatable,http://vallatable.com/,https://www.eatrealfoodnyc.com/restaurants/valla-table,Manhattan,Hell's Kitchen,Thai restaurant,,C,vallatable@gmail.com,12122454601,"641 10th Ave, New York, NY 10036",4.9,4974
Glin Thai Bistro,https://www.instagram.com/glinthaibistro,https://www.glinthaibistro.com/,https://www.eatrealfoodnyc.com/restaurants/glin-thai-bistro,Brooklyn,Fort Greene,Thai restaurant,,A,glinthaibistro22@gmail.com,13479874100,"330 Myrtle Ave, Brooklyn, NY 11205",4.9,4369
Kam Rai Thai,https://www.instagram.com/kamraithai,http://kamraithai.net/,https://www.eatrealfoodnyc.com/restaurants/kam-rai-thai,Queens,Astoria,Restaurant,vegetarian,NA,kamraithai99@gmail.com,19295220999,"43-11 28th Ave, Astoria, NY 11103",4.9,3533
Aragvi,https://www.instagram.com/aragvi.nyc/,http://aragvi-nyc.com/,https://www.eatrealfoodnyc.com/restaurants/aragvi,Manhattan,Midtown East,Georgian restaurant,halal,A,aragvi.nyc@gmail.com,16468630990,"230 E 44th St, New York, NY 10017",4.9,3325
